"Week","Team","Points","Home","Cumulative"
10,"Chelsea",0,"Away",11
10,"Arsenal",3,"Home",22
10,"Everton",0,"Away",13
10,"Sunderland",3,"Home",6
10,"Newcastle",0,"Away",6
10,"Bournemouth",0,"Home",8
10,"Tottenham",3,"Away",17
10,"Manchester United",1,"Home",20
10,"Manchester City",1,"Away",22
10,"Liverpool",1,"Home",14
10,"Southampton",1,"Away",14
11,"Chelsea",0,"Home",11
11,"Liverpool",3,"Away",17
11,"Crystal Palace",1,"Home",16
11,"Manchester United",1,"Away",21
11,"Manchester City",3,"Home",25
11,"Norwich",0,"Away",9
11,"Newcastle",1,"Home",7
11,"Stoke",1,"Away",13
11,"Swansea",0,"Home",13
11,"Arsenal",3,"Away",25
11,"Watford",3,"Home",16
11,"West Ham",0,"Away",20
11,"West Bromwich",0,"Home",14
11,"Leicester",3,"Away",22
11,"Everton",3,"Home",16
11,"Sunderland",0,"Away",6
11,"Southampton",3,"Home",17
11,"Bournemouth",0,"Away",8
11,"Tottenham",3,"Home",20
11,"Aston Villa",0,"Away",4
12,"Bournemouth",0,"Home",8
12,"Newcastle",3,"Away",10
12,"Leicester",3,"Home",25
12,"Watford",0,"Away",16
12,"Manchester United",3,"Home",24
12,"West Bromwich",0,"Away",14
12,"Norwich",3,"Home",12
12,"Swansea",0,"Away",13
12,"Sunderland",0,"Home",6
12,"Southampton",3,"Away",20
12,"West Ham",1,"Home",21
12,"Everton",1,"Away",17
12,"Stoke",3,"Home",16
12,"Chelsea",0,"Away",11
12,"Aston Villa",1,"Home",5
12,"Manchester City",1,"Away",26
12,"Arsenal",1,"Home",26
12,"Tottenham",1,"Away",21
12,"Liverpool",0,"Home",17
12,"Crystal Palace",3,"Away",19
13,"Watford",0,"Home",16
13,"Manchester United",3,"Away",27
13,"Chelsea",3,"Home",14
13,"Norwich",0,"Away",12
13,"Everton",3,"Home",20
13,"Aston Villa",0,"Away",5
13,"Newcastle",0,"Home",10
13,"Leicester",3,"Away",28
13,"Southampton",0,"Home",20
13,"Stoke",3,"Away",19
13,"Swansea",1,"Home",14
13,"Bournemouth",1,"Away",9
13,"West Bromwich",3,"Home",17
13,"Arsenal",0,"Away",26
13,"Manchester City",0,"Home",26
13,"Liverpool",3,"Away",20
13,"Tottenham",3,"Home",24
13,"West Ham",0,"Away",21
13,"Crystal Palace",0,"Home",19
13,"Sunderland",3,"Away",9
14,"Bournemouth",1,"Home",10
14,"Everton",1,"Away",21
14,"Aston Villa",0,"Home",5
14,"Watford",3,"Away",19
14,"Crystal Palace",3,"Home",22
14,"Newcastle",0,"Away",10
14,"Manchester City",3,"Home",29
14,"Southampton",0,"Away",20
14,"Sunderland",3,"Home",12
14,"Stoke",0,"Away",19
14,"Leicester",1,"Home",29
14,"Manchester United",1,"Away",28
14,"Tottenham",1,"Home",25
14,"Chelsea",1,"Away",15
14,"West Ham",1,"Home",22
14,"West Bromwich",1,"Away",18
14,"Liverpool",3,"Home",23
14,"Swansea",0,"Away",14
14,"Norwich",1,"Home",13
14,"Arsenal",1,"Away",27
15,"Stoke",3,"Home",22
15,"Manchester City",0,"Away",29
15,"Arsenal",3,"Home",30
15,"Sunderland",0,"Away",12
15,"Manchester United",1,"Home",29
15,"West Ham",1,"Away",23
15,"Southampton",1,"Home",21
15,"Aston Villa",1,"Away",6
15,"Swansea",0,"Home",14
15,"Leicester",3,"Away",32
15,"Watford",3,"Home",22
15,"Norwich",0,"Away",13
15,"West Bromwich",1,"Home",19
15,"Tottenham",1,"Away",26
15,"Chelsea",0,"Home",15
15,"Bournemouth",3,"Away",13
15,"Newcastle",3,"Home",13
15,"Liverpool",0,"Away",23
15,"Everton",1,"Home",22
15,"Crystal Palace",1,"Away",23
16,"Norwich",1,"Home",14
16,"Everton",1,"Away",23
16,"Crystal Palace",3,"Home",26
16,"Southampton",0,"Away",21
16,"Manchester City",3,"Home",32
16,"Swansea",0,"Away",14
16,"Sunderland",0,"Home",12
16,"Watford",3,"Away",25
16,"West Ham",1,"Home",24
16,"Stoke",1,"Away",23
16,"Bournemouth",3,"Home",16
16,"Manchester United",0,"Away",29
16,"Aston Villa",0,"Home",6
16,"Arsenal",3,"Away",33
16,"Liverpool",1,"Home",24
16,"West Bromwich",1,"Away",20
16,"Tottenham",0,"Home",26
16,"Newcastle",3,"Away",16
16,"Leicester",3,"Home",35
16,"Chelsea",0,"Away",15
17,"Chelsea",3,"Home",18
17,"Sunderland",0,"Away",12
17,"Everton",0,"Home",23
17,"Leicester",3,"Away",38
17,"Manchester United",0,"Home",29
17,"Norwich",3,"Away",17
17,"Southampton",0,"Home",21
17,"Tottenham",3,"Away",29
17,"Stoke",0,"Home",23
17,"Crystal Palace",3,"Away",29
17,"West Bromwich",0,"Home",20
17,"Bournemouth",3,"Away",19
17,"Newcastle",1,"Home",17
17,"Aston Villa",1,"Away",7
17,"Watford",3,"Home",28
17,"Liverpool",0,"Away",24
17,"Swansea",1,"Home",15
17,"West Ham",1,"Away",25
17,"Arsenal",3,"Home",36
17,"Manchester City",0,"Away",32
18,"Stoke",3,"Home",26
18,"Manchester United",0,"Away",29
18,"Bournemouth",1,"Home",20
18,"Crystal Palace",1,"Away",30
18,"Aston Villa",1,"Home",8
18,"West Ham",1,"Away",26
18,"Chelsea",1,"Home",19
18,"Watford",1,"Away",29
18,"Liverpool",3,"Home",27
18,"Leicester",0,"Away",38
18,"Manchester City",3,"Home",35
18,"Sunderland",0,"Away",12
18,"Swansea",3,"Home",18
18,"West Bromwich",0,"Away",20
18,"Tottenham",3,"Home",32
18,"Norwich",0,"Away",17
18,"Newcastle",0,"Home",17
18,"Everton",3,"Away",26
18,"Southampton",3,"Home",24
18,"Arsenal",0,"Away",36
19,"Crystal Palace",1,"Home",31
19,"Swansea",1,"Away",19
19,"Everton",0,"Home",26
19,"Stoke",3,"Away",29
19,"Norwich",3,"Home",20
19,"Aston Villa",0,"Away",8
19,"Watford",0,"Home",29
19,"Tottenham",3,"Away",35
19,"West Bromwich",3,"Home",23
19,"Newcastle",0,"Away",17
19,"Arsenal",3,"Home",39
19,"Bournemouth",0,"Away",20
19,"Manchester United",1,"Home",30
19,"Chelsea",1,"Away",20
19,"West Ham",3,"Home",29
19,"Southampton",0,"Away",24
19,"Leicester",1,"Home",39
19,"Manchester City",1,"Away",36
19,"Sunderland",0,"Home",12
19,"Liverpool",3,"Away",30
20,"West Ham",3,"Home",32
20,"Liverpool",0,"Away",30
20,"Arsenal",3,"Home",42
20,"Newcastle",0,"Away",17
20,"Leicester",1,"Home",40
20,"Bournemouth",1,"Away",21
20,"Manchester United",3,"Home",33
20,"Swansea",0,"Away",19
20,"Norwich",3,"Home",23
20,"Southampton",0,"Away",24
20,"Sunderland",3,"Home",15
20,"Aston Villa",0,"Away",8
20,"West Bromwich",3,"Home",26
20,"Stoke",0,"Away",29
20,"Watford",0,"Home",29
20,"Manchester City",3,"Away",39
20,"Crystal Palace",0,"Home",31
20,"Chelsea",3,"Away",23
20,"Everton",1,"Home",27
20,"Tottenham",1,"Away",36
21,"Bournemouth",0,"Home",21
21,"West Ham",3,"Away",35
21,"Aston Villa",3,"Home",11
21,"Crystal Palace",0,"Away",31
21,"Newcastle",1,"Home",18
21,"Manchester United",1,"Away",34
21,"Chelsea",1,"Home",24
21,"West Bromwich",1,"Away",27
21,"Manchester City",1,"Home",40
21,"Everton",1,"Away",28
21,"Southampton",3,"Home",27
21,"Watford",0,"Away",29
21,"Stoke",3,"Home",32
21,"Norwich",0,"Away",23
21,"Swansea",0,"Home",19
21,"Sunderland",3,"Away",18
21,"Liverpool",1,"Home",31
21,"Arsenal",1,"Away",43
21,"Tottenham",0,"Home",36
21,"Leicester",3,"Away",43
22,"Tottenham",3,"Home",39
22,"Sunderland",0,"Away",18
22,"Bournemouth",3,"Home",24
22,"Norwich",0,"Away",23
22,"Chelsea",1,"Home",25
22,"Everton",1,"Away",29
22,"Manchester City",3,"Home",43
22,"Crystal Palace",0,"Away",31
22,"Newcastle",3,"Home",21
22,"West Ham",0,"Away",35
22,"Southampton",3,"Home",30
22,"West Bromwich",0,"Away",27
22,"Aston Villa",1,"Home",12
22,"Leicester",1,"Away",44
22,"Liverpool",0,"Home",31
22,"Manchester United",3,"Away",37
22,"Stoke",1,"Home",33
22,"Arsenal",1,"Away",44
22,"Swansea",3,"Home",22
22,"Watford",0,"Away",29
23,"Norwich",0,"Home",23
23,"Liverpool",3,"Away",34
23,"Crystal Palace",0,"Home",31
23,"Tottenham",3,"Away",42
23,"Leicester",3,"Home",47
23,"Stoke",0,"Away",33
23,"Manchester United",0,"Home",37
23,"Southampton",3,"Away",33
23,"Sunderland",1,"Home",19
23,"Bournemouth",1,"Away",25
23,"Watford",3,"Home",32
23,"Newcastle",0,"Away",21
23,"West Bromwich",1,"Home",28
23,"Aston Villa",1,"Away",13
23,"West Ham",1,"Home",36
23,"Manchester City",1,"Away",44
23,"Everton",0,"Home",29
23,"Swansea",3,"Away",25
23,"Arsenal",0,"Home",44
23,"Chelsea",3,"Away",28
24,"Arsenal",1,"Home",45
24,"Southampton",1,"Away",34
24,"Leicester",3,"Home",50
24,"Liverpool",0,"Away",34
24,"Norwich",0,"Home",23
24,"Tottenham",3,"Away",45
24,"Sunderland",0,"Home",19
24,"Manchester City",3,"Away",47
24,"West Ham",3,"Home",39
24,"Aston Villa",0,"Away",13
24,"Crystal Palace",0,"Home",31
24,"Bournemouth",3,"Away",28
24,"Manchester United",3,"Home",40
24,"Stoke",0,"Away",33
24,"West Bromwich",1,"Home",29
24,"Swansea",1,"Away",26
24,"Everton",3,"Home",32
24,"Newcastle",0,"Away",21
24,"Watford",1,"Home",33
24,"Chelsea",1,"Away",29
25,"Manchester City",0,"Home",47
25,"Leicester",3,"Away",53
25,"Aston Villa",3,"Home",16
25,"Norwich",0,"Away",23
25,"Liverpool",1,"Home",35
25,"Sunderland",1,"Away",20
25,"Newcastle",3,"Home",24
25,"West Bromwich",0,"Away",29
25,"Stoke",0,"Home",33
25,"Everton",3,"Away",35
25,"Swansea",1,"Home",27
25,"Crystal Palace",1,"Away",32
25,"Tottenham",3,"Home",48
25,"Watford",0,"Away",33
25,"Southampton",3,"Home",37
25,"West Ham",0,"Away",39
25,"Bournemouth",0,"Home",28
25,"Arsenal",3,"Away",48
25,"Chelsea",1,"Home",30
25,"Manchester United",1,"Away",41
26,"Sunderland",3,"Home",23
26,"Manchester United",0,"Away",41
26,"Bournemouth",0,"Home",28
26,"Stoke",3,"Away",36
26,"Crystal Palace",0,"Home",32
26,"Watford",3,"Away",36
26,"Everton",0,"Home",35
26,"West Bromwich",3,"Away",32
26,"Norwich",1,"Home",24
26,"West Ham",1,"Away",40
26,"Swansea",0,"Home",27
26,"Southampton",3,"Away",40
26,"Chelsea",3,"Home",33
26,"Newcastle",0,"Away",24
26,"Arsenal",3,"Home",51
26,"Leicester",0,"Away",53
26,"Aston Villa",0,"Home",16
26,"Liverpool",3,"Away",38
26,"Manchester City",0,"Home",47
26,"Tottenham",3,"Away",51
27,"West Ham",3,"Home",43
27,"Sunderland",0,"Away",23
27,"Leicester",3,"Home",56
27,"Norwich",0,"Away",24
27,"Southampton",0,"Home",40
27,"Chelsea",3,"Away",36
27,"Stoke",3,"Home",39
27,"Aston Villa",0,"Away",16
27,"Watford",1,"Home",37
27,"Bournemouth",1,"Away",29
27,"West Bromwich",3,"Home",35
27,"Crystal Palace",0,"Away",32
27,"Manchester United",3,"Home",44
27,"Arsenal",0,"Away",51
27,"Tottenham",3,"Home",54
27,"Swansea",0,"Away",27
27,"Newcastle",1,"Home",25
27,"Manchester City",1,"Away",48
27,"Liverpool",3,"Home",41
27,"Everton",0,"Away",35
28,"Bournemouth",3,"Home",32
28,"Southampton",0,"Away",40
28,"Aston Villa",0,"Home",16
28,"Everton",3,"Away",38
28,"Leicester",1,"Home",57
28,"West Bromwich",1,"Away",36
