"Week","Team","Points","Home","Cumulative"
10,"West Bromwich",3,"Away",13
10,"Stoke",1,"Home",12
10,"West Ham",1,"Away",17
10,"Manchester City",3,"Home",20
10,"Manchester United",0,"Away",13
10,"Aston Villa",0,"Home",10
10,"Tottenham",3,"Away",14
10,"Crystal Palace",0,"Home",9
10,"Sunderland",3,"Away",11
11,"Liverpool",0,"Home",14
11,"Chelsea",3,"Away",29
11,"Burnley",3,"Home",7
11,"Hull",0,"Away",11
11,"Manchester United",3,"Home",16
11,"Crystal Palace",0,"Away",9
11,"Southampton",3,"Home",25
11,"Leicester",0,"Away",9
11,"West Ham",1,"Home",18
11,"Aston Villa",1,"Away",11
11,"QPR",1,"Home",8
11,"Manchester City",1,"Away",21
11,"Sunderland",1,"Home",12
11,"Everton",1,"Away",14
11,"Tottenham",0,"Home",14
11,"Stoke",3,"Away",15
11,"West Bromwich",0,"Home",13
11,"Newcastle",3,"Away",16
11,"Swansea",3,"Home",18
11,"Arsenal",0,"Away",17
12,"Chelsea",3,"Home",32
12,"West Bromwich",0,"Away",13
12,"Everton",3,"Home",17
12,"West Ham",0,"Away",18
12,"Leicester",1,"Home",10
12,"Sunderland",1,"Away",13
12,"Manchester City",3,"Home",24
12,"Swansea",0,"Away",18
12,"Newcastle",3,"Home",19
12,"QPR",0,"Away",8
12,"Stoke",0,"Home",15
12,"Burnley",3,"Away",10
12,"Arsenal",0,"Home",17
12,"Manchester United",3,"Away",19
12,"Crystal Palace",3,"Home",12
12,"Liverpool",0,"Away",14
12,"Hull",0,"Home",11
12,"Tottenham",3,"Away",17
12,"Aston Villa",1,"Home",12
12,"Southampton",1,"Away",26
13,"West Bromwich",0,"Home",13
13,"Arsenal",3,"Away",20
13,"Burnley",1,"Home",11
13,"Aston Villa",1,"Away",13
13,"Liverpool",3,"Home",17
13,"Stoke",0,"Away",15
13,"Manchester United",3,"Home",22
13,"Hull",0,"Away",11
13,"QPR",3,"Home",11
13,"Leicester",0,"Away",10
13,"Swansea",1,"Home",19
13,"Crystal Palace",1,"Away",13
13,"West Ham",3,"Home",21
13,"Newcastle",0,"Away",19
13,"Sunderland",1,"Home",14
13,"Chelsea",1,"Away",33
13,"Southampton",0,"Home",26
13,"Manchester City",3,"Away",27
13,"Tottenham",3,"Home",20
13,"Everton",0,"Away",17
14,"Burnley",1,"Home",12
14,"Newcastle",1,"Away",20
14,"Leicester",0,"Home",10
14,"Liverpool",3,"Away",20
14,"Manchester United",3,"Home",25
14,"Stoke",0,"Away",15
14,"Swansea",3,"Home",22
14,"QPR",0,"Away",11
14,"Crystal Palace",0,"Home",13
14,"Aston Villa",3,"Away",16
14,"West Bromwich",0,"Home",13
14,"West Ham",3,"Away",24
14,"Arsenal",3,"Home",23
14,"Southampton",0,"Away",26
14,"Chelsea",3,"Home",36
14,"Tottenham",0,"Away",20
14,"Everton",1,"Home",18
14,"Hull",1,"Away",12
14,"Sunderland",0,"Home",14
14,"Manchester City",3,"Away",30
15,"Newcastle",3,"Home",23
15,"Chelsea",0,"Away",36
15,"Hull",1,"Home",13
15,"West Bromwich",1,"Away",14
15,"Liverpool",1,"Home",21
15,"Sunderland",1,"Away",15
15,"QPR",3,"Home",14
15,"Burnley",0,"Away",12
15,"Stoke",3,"Home",18
15,"Arsenal",0,"Away",23
15,"Tottenham",1,"Home",21
15,"Crystal Palace",1,"Away",14
15,"Manchester City",3,"Home",33
15,"Everton",0,"Away",18
15,"West Ham",3,"Home",27
15,"Swansea",0,"Away",22
15,"Aston Villa",3,"Home",19
15,"Leicester",0,"Away",10
15,"Southampton",0,"Home",26
15,"Manchester United",3,"Away",28
16,"Burnley",3,"Home",15
16,"Southampton",0,"Away",26
16,"Chelsea",3,"Home",39
16,"Hull",0,"Away",13
16,"Crystal Palace",1,"Home",15
16,"Stoke",1,"Away",19
16,"Leicester",0,"Home",10
16,"Manchester City",3,"Away",36
16,"Sunderland",1,"Home",16
16,"West Ham",1,"Away",28
16,"West Bromwich",3,"Home",17
16,"Aston Villa",0,"Away",19
16,"Arsenal",3,"Home",26
16,"Newcastle",0,"Away",23
16,"Manchester United",3,"Home",31
16,"Liverpool",0,"Away",21
16,"Swansea",0,"Home",22
16,"Tottenham",3,"Away",24
16,"Everton",3,"Home",21
16,"QPR",0,"Away",14
17,"Manchester City",3,"Home",39
17,"Crystal Palace",0,"Away",15
17,"Aston Villa",1,"Home",20
17,"Manchester United",1,"Away",32
17,"Hull",0,"Home",13
17,"Swansea",3,"Away",25
17,"QPR",3,"Home",17
17,"West Bromwich",0,"Away",17
17,"Southampton",3,"Home",29
17,"Everton",0,"Away",21
17,"Tottenham",3,"Home",27
17,"Burnley",0,"Away",15
17,"West Ham",3,"Home",31
17,"Leicester",0,"Away",10
17,"Newcastle",0,"Home",23
17,"Sunderland",3,"Away",19
17,"Liverpool",1,"Home",22
17,"Arsenal",1,"Away",27
17,"Stoke",0,"Home",19
17,"Chelsea",3,"Away",42
18,"Chelsea",3,"Home",45
18,"West Ham",0,"Away",31
18,"Crystal Palace",0,"Home",15
18,"Southampton",3,"Away",32
18,"Burnley",0,"Home",15
18,"Liverpool",3,"Away",25
18,"Manchester United",3,"Home",35
18,"Newcastle",0,"Away",23
18,"Everton",0,"Home",21
18,"Stoke",3,"Away",22
18,"Sunderland",0,"Home",19
18,"Hull",3,"Away",16
18,"West Bromwich",0,"Home",17
18,"Manchester City",3,"Away",42
18,"Leicester",0,"Home",10
18,"Tottenham",3,"Away",30
18,"Swansea",3,"Home",28
18,"Aston Villa",0,"Away",20
18,"Arsenal",3,"Home",30
18,"QPR",0,"Away",17
19,"Tottenham",1,"Home",31
19,"Manchester United",1,"Away",36
19,"Southampton",1,"Home",33
19,"Chelsea",1,"Away",46
19,"Stoke",3,"Home",25
19,"West Bromwich",0,"Away",17
19,"West Ham",0,"Home",31
19,"Arsenal",3,"Away",33
19,"Aston Villa",1,"Home",21
19,"Sunderland",1,"Away",20
19,"Hull",0,"Home",16
19,"Leicester",3,"Away",13
19,"Manchester City",1,"Home",43
19,"Burnley",1,"Away",16
19,"QPR",1,"Home",18
19,"Crystal Palace",1,"Away",16
19,"Newcastle",3,"Home",26
19,"Everton",0,"Away",21
19,"Liverpool",3,"Home",28
19,"Swansea",0,"Away",28
20,"Stoke",1,"Home",26
20,"Manchester United",1,"Away",37
20,"Hull",3,"Home",19
20,"Everton",0,"Away",21
20,"Manchester City",3,"Home",46
20,"Sunderland",0,"Away",20
20,"QPR",1,"Home",19
20,"Swansea",1,"Away",29
20,"Southampton",3,"Home",36
20,"Arsenal",0,"Away",33
20,"West Ham",1,"Home",32
20,"West Bromwich",1,"Away",18
20,"Aston Villa",1,"Home",22
20,"Crystal Palace",1,"Away",17
