West Bromwich 1-2 Bournemouth   
Newcastle     1-1 Aston Villa   
[Dec 20]
Watford       3-0 Liverpool     
Swansea       0-0 West Ham      
[Dec 21]
Arsenal       2-1 Manchester C  

Round 18
[Dec 26]
Stoke         2-0 Manchester U  
Bournemouth   0-0 Crystal P     
Aston Villa   1-1 West Ham      
Chelsea       2-2 Watford       
Liverpool     1-0 Leicester     
Manchester C  4-1 Sunderland    
Swansea       1-0 West Bromwich 
Tottenham     3-0 Norwich       
Newcastle     0-1 Everton       
Southampton   4-0 Arsenal       

Round 19
[Dec 28]
Crystal P     0-0 Swansea       
Everton       3-4 Stoke         
Norwich       2-0 Aston Villa   
Watford       1-2 Tottenham     
West Bromwich 1-0 Newcastle     
Arsenal       2-0 Bournemouth   
Manchester U  0-0 Chelsea       
West Ham      2-1 Southampton   
[Dec 29]
Leicester     0-0 Manchester C  
[Dec 30]
Sunderland    0-1 Liverpool     

Round 20
[Jan 2]
West Ham      2-0 Liverpool     
Arsenal       1-0 Newcastle     
Leicester     0-0 Bournemouth   
Manchester U  2-1 Swansea       
Norwich       1-0 Southampton   
Sunderland    3-1 Aston Villa   
West Bromwich 2-1 Stoke         
Watford       1-2 Manchester C  
[Jan 3]
Crystal P     0-3 Chelsea       
Everton       1-1 Tottenham     

Round 21
[Jan 12]
Bournemouth   1-3 West Ham      
Aston Villa   1-0 Crystal P     
Newcastle     3-3 Manchester U  
[Jan 13]
Chelsea       2-2 West Bromwich 
Manchester C  0-0 Everton       
Southampton   2-0 Watford       
Stoke         3-1 Norwich       
Swansea       2-4 Sunderland    
Liverpool     3-3 Arsenal       
Tottenham     0-1 Leicester     

Round 22
[Jan 16]
Tottenham     4-1 Sunderland    
Bournemouth   3-0 Norwich       
Chelsea       3-3 Everton       
Manchester C  4-0 Crystal P     
Newcastle     2-1 West Ham      
Southampton   3-0 West Bromwich 
Aston Villa   1-1 Leicester     
[Jan 17]
Liverpool     0-1 Manchester U  
Stoke         0-0 Arsenal       
[Jan 18]
Swansea       1-0 Watford       

Round 23
[Jan 23]
Norwich       4-5 Liverpool     
Crystal P     1-3 Tottenham     
Leicester     3-0 Stoke         
Manchester U  0-1 Southampton   
Sunderland    1-1 Bournemouth   
Watford       2-1 Newcastle     
West Bromwich 0-0 Aston Villa   
West Ham      2-2 Manchester C  
[Jan 24]
Everton       1-2 Swansea       
Arsenal       0-1 Chelsea       

Round 24
[Feb 2]
Arsenal       0-0 Southampton   
Leicester     2-0 Liverpool     
Norwich       0-3 Tottenham     
Sunderland    0-1 Manchester C  
West Ham      2-0 Aston Villa   
Crystal P     1-2 Bournemouth   
Manchester U  3-0 Stoke         
West Bromwich 1-1 Swansea       
[Feb 3]
Everton       3-0 Newcastle     
Watford       0-0 Chelsea       

Round 25
[Feb 6]
Manchester C  1-3 Leicester     
Aston Villa   2-0 Norwich       
Liverpool     2-2 Sunderland    
Newcastle     1-0 West Bromwich 
Stoke         0-3 Everton       
Swansea       1-1 Crystal P     
Tottenham     1-0 Watford       
Southampton   1-0 West Ham      
[Feb 7]
Bournemouth   0-2 Arsenal       
Chelsea       1-1 Manchester U  

Round 26
[Feb 13]
Sunderland    2-1 Manchester U  
Bournemouth   1-3 Stoke         
Crystal P     1-2 Watford       
Everton       0-1 West Bromwich 
Norwich       2-2 West Ham      
Swansea       0-1 Southampton   
Chelsea       5-1 Newcastle     
[Feb 14]
Arsenal       2-1 Leicester     
Aston Villa   0-6 Liverpool     
Manchester C  1-2 Tottenham     

Round 27
[Feb 27]
West Ham      1-0 Sunderland    
Leicester     1-0 Norwich       
Southampton   1-2 Chelsea       
Stoke         2-1 Aston Villa   
Watford       0-0 Bournemouth   
West Bromwich 3-2 Crystal P     
[Feb 28]
Manchester U  3-2 Arsenal       
Tottenham     2-1 Swansea       
[Apr 19]
Newcastle     1-1 Manchester C  
[Apr 20]
Liverpool     4-0 Everton       

Round 28
[Mar 1]
Bournemouth   2-0 Southampton   
Aston Villa   1-3 Everton       
Leicester     2-2 West Bromwich 
Norwich       1-2 Chelsea       
Sunderland    2-2 Crystal P     
[Mar 2]
Arsenal       1-2 Swansea       
Stoke         1-0 Newcastle     
West Ham      1-0 Tottenham     
Liverpool     3-0 Manchester C  
Manchester U  1-0 Watford       

Round 29
[Mar 5]
Tottenham     2-2 Arsenal       
Chelsea       1-1 Stoke         
Everton       2-3 West Ham      
Manchester C  4-0 Aston Villa   
Newcastle     1-3 Bournemouth   
Southampton   1-1 Sunderland    
Swansea       1-0 Norwich       
Watford       0-1 Leicester     
[Mar 6]
Crystal P     1-2 Liverpool     
West Bromwich 1-0 Manchester U  

Round 30
[Mar 12]
Norwich       0-0 Manchester C  
Bournemouth   3-2 Swansea       
Stoke         1-2 Southampton   
[Mar 13]
Aston Villa   0-2 Tottenham     
[Mar 14]
Leicester     1-0 Newcastle     
[Apr 20]
West Ham      3-1 Watford       
Manchester U  2-0 Crystal P     
[Apr 21]
Arsenal       2-0 West Bromwich 
[May 11]
Sunderland    3-0 Everton       
Liverpool     1-1 Chelsea       

Round 31
[Mar 19]
Everton       0-2 Arsenal       
Chelsea       2-2 West Ham      
Crystal P     0-1 Leicester     
Watford       1-2 Stoke         
West Bromwich 0-1 Norwich       
Swansea       1-0 Aston Villa   
[Mar 20]
Newcastle     1-1 Sunderland    
Southampton   3-2 Liverpool     
Manchester C  0-1 Manchester U  
Tottenham     3-0 Bournemouth   

Round 32
[Apr 2]
Aston Villa   0-4 Chelsea       
Bournemouth   0-4 Manchester C  
Arsenal       4-0 Watford       
Norwich       3-2 Newcastle     
Stoke         2-2 Swansea       
Sunderland    0-0 West Bromwich 
West Ham      2-2 Crystal P     
Liverpool     1-1 Tottenham     
[Apr 3]
Leicester     1-0 Southampton   
Manchester U  1-0 Everton       

Round 33
[Apr 9]
West Ham      3-3 Arsenal       
Aston Villa   1-2 Bournemouth   
Crystal P     1-0 Norwich       
Southampton   3-1 Newcastle     
Swansea       1-0 Chelsea       
Watford       1-1 Everton       
Manchester C  2-1 West Bromwich 
[Apr 10]
Sunderland    0-2 Leicester     
Liverpool     4-1 Stoke         
Tottenham     3-0 Manchester U  

Round 34
[Apr 16]
Norwich       0-3 Sunderland    
Everton       1-1 Southampton   
Manchester U  1-0 Aston Villa   
Newcastle     3-0 Swansea       
West Bromwich 0-1 Watford       
Chelsea       0-3 Manchester C  
[Apr 17]
Bournemouth   1-2 Liverpool     
Leicester     2-2 West Ham      
Arsenal       1-1 Crystal P     
[Apr 18]
Stoke         0-4 Tottenham     

Round 35
[Apr 13]
Crystal P     0-0 Everton       
[Apr 23]
Manchester C  4-0 Stoke         
Bournemouth   1-4 Chelsea       
Aston Villa   2-4 Southampton   
Liverpool     2-2 Newcastle     
[Apr 24]
Sunderland    0-0 Arsenal       
Leicester     4-0 Swansea       
[Apr 25]
Tottenham     1-1 West Bromwich 
[May 10]
West Ham      3-2 Manchester U  
[May 11]
Norwich       4-2 Watford       

Round 36
[Apr 30]
Everton       2-1 Bournemouth   
Newcastle     1-0 Crystal P     
Stoke         1-1 Sunderland    
Watford       3-2 Aston Villa   
West Bromwich 0-3 West Ham      
Arsenal       1-0 Norwich       
[May 1]
Swansea       3-1 Liverpool     
Manchester U  1-1 Leicester     
Southampton   4-2 Manchester C  
[May 2]
Chelsea       2-2 Tottenham     

Round 37
[May 7]
Norwich       0-1 Manchester U  
Bournemouth   1-1 West Bromwich 
Aston Villa   0-0 Newcastle     
Crystal P     2-1 Stoke         
Sunderland    3-2 Chelsea       
West Ham      1-4 Swansea       
Leicester     3-1 Everton       
[May 8]
Tottenham     1-2 Southampton   
Liverpool     2-0 Watford       
Manchester C  2-2 Arsenal       

Round 38
[May 15]
Arsenal       4-0 Aston Villa   
Chelsea       1-1 Leicester     
Everton       3-0 Norwich       
Newcastle     5-1 Tottenham     
Southampton   4-1 Crystal P     
Stoke         2-1 West Ham      
Swansea       1-1 Manchester C  
Watford       2-2 Sunderland    
West Bromwich 1-1 Liverpool     
[May 17]
Manchester U  3-1 Bournemouth   
